,cca,cca_name,cca_nb,count,population,crime_rate
96,64,Albany Park,Albany Park,31070,23139.0,5594.811069334601
97,64,Albany Park,Mayfair,31070,23139.0,5594.811069334601
98,65,Portage Park,Portage Park,56952,33355.0,7114.375655823714
99,66,Irving Park,Irving Park,186293,55628.0,13953.779271829533
100,66,Irving Park,Old Irving Park,186293,55628.0,13953.779271829533
101,67,Dunning,Dunning,215489,35505.0,25288.574379195423
102,67,Dunning,Irving Woods,215489,35505.0,25288.574379195423
103,68,Montclare,Montclare,198620,30654.0,26997.56421130467
104,69,Belmont Cragin,Belmont Cragin,192778,32602.0,24637.803406743962
105,69,Belmont Cragin,Cragin,192778,32602.0,24637.803406743962
106,69,Belmont Cragin,Belmont Central,192778,32602.0,24637.803406743962
107,69,Belmont Cragin,Hanson Park,192778,32602.0,24637.803406743962
108,69,Belmont Cragin,Galewood,192778,32602.0,24637.803406743962
109,70,Hermosa,Hermosa,70252,41081.0,7125.353975479337
110,71,Avondale,Avondale,218033,48743.0,18637.975367403185
111,71,Avondale,Belmont Gardens,218033,48743.0,18637.975367403185
112,72,Logan Square,Logan Square,28233,20034.0,5871.892782270141
113,73,Humboldt Park,Humboldt Park,92282,26493.0,14513.58220410423
114,74,West Town,West Town,17310,19093.0,3777.5624574451367
115,74,West Town,Ukrainian Village,17310,19093.0,3777.5624574451367
116,74,West Town,East Village,17310,19093.0,3777.5624574451367
117,74,West Town,Fulton River District,17310,19093.0,3777.5624574451367
118,75,Austin,Austin,61551,22544.0,11376.086763662172
119,76,West Garfield Park,West Garfield Park,47411,12756.0,15486.503083516254
120,77,East Garfield Park,East Garfield Park,79548,56521.0,5864.192070203994
