property_id,formatted_address,zip_code,style,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,latitude,longitude,stories,days_on_mls,neighborhoods
7869438504,"1325 N State Pkwy Apt 7A, Chicago, IL, 60610",60610,CONDOS,2.0,2.0,,1650.0,1963.0,549000.0,549000.0,41.906437,-87.628363,24.0,40.0,"Downtown Chicago, Near North Side, Gold Coast"
8976910228,"8934 S Justine St, Chicago, IL, 60620",60620,SINGLE_FAMILY,3.0,3.0,,1600.0,1949.0,325000.0,325000.0,41.73112,-87.662047,2.0,64.0,"Brainerd, Far Southwest Side, Washington Heights"
7241760714,"2119 N Karlov Ave, Chicago, IL, 60639",60639,SINGLE_FAMILY,3.0,3.0,,996.0,1896.0,399900.0,410000.0,41.919601,-87.728724,2.0,34.0,"Hermosa, Northwest Side"
9654739729,"8402 S Carpenter St, Chicago, IL, 60620",60620,SINGLE_FAMILY,3.0,3.0,,1200.0,2025.0,449900.0,435000.0,,,,45.0,
8749494889,"3950 N Lake Shore Dr Apt 904, Chicago, IL, 60613",60613,CONDOS,1.0,1.0,,700.0,1957.0,125000.0,127500.0,41.954132,-87.645973,23.0,116.0,"Lake View, Lake View East, North Side"
8085378803,"1350 N State Pkwy Apt Gs, Chicago, IL, 60610",60610,CONDOS,1.0,2.0,,1190.0,1913.0,659000.0,650000.0,41.907342,-87.629139,4.0,57.0,"Downtown Chicago, Near North Side, Gold Coast"
7974116610,"4931 S Knox Ave, Chicago, IL, 60632",60632,SINGLE_FAMILY,3.0,2.0,,1032.0,1959.0,270000.0,252000.0,41.803069,-87.739008,1.0,42.0,"Garfield Ridge, Southwest Side, Centerfield"
8600411677,"222 N Columbus Dr Apt 809, Chicago, IL, 60601",60601,CONDOS,2.0,2.0,,1225.0,2002.0,399000.0,380000.0,41.886551,-87.621576,52.0,96.0,"Downtown Chicago, The Loop"
8940609501,"55 W Delaware Pl Apt 720, Chicago, IL, 60610",60610,CONDOS,3.0,3.0,,2138.0,1998.0,995000.0,900000.0,41.89898,-87.629451,12.0,98.0,"Downtown Chicago, Near North Side, Rush and Division"
7047969221,"2531 W Lunt Ave, Chicago, IL, 60645",60645,MULTI_FAMILY,6.0,4.0,1.0,3440.0,1955.0,598500.0,652000.0,42.008318,-87.693833,,83.0,"West Ridge, Far North Side, West Rogers Park"
8401700960,"6420 S Bishop St, Chicago, IL, 60636",60636,SINGLE_FAMILY,4.0,3.0,,1468.0,1888.0,295000.0,270000.0,41.777032,-87.660855,2.0,82.0,"Southwest Side, West Englewood"
7927334554,"8505 S Seeley Ave, Chicago, IL, 60620",60620,SINGLE_FAMILY,2.0,1.0,,1200.0,,175000.0,175000.0,41.739077,-87.673743,2.0,67.0,"Auburn Gresham, Far Southwest Side"
7093003295,"3431 N Troy St, Chicago, IL, 60618",60618,SINGLE_FAMILY,3.0,3.0,,2700.0,1908.0,725000.0,771000.0,41.943672,-87.70618,2.0,33.0,"Avondale, North Side"
7997511399,"5520 S Cornell Ave Apt 1S, Chicago, IL, 60637",60637,CONDOS,2.0,1.0,,1300.0,1915.0,275000.0,275000.0,41.794554,-87.586144,3.0,44.0,"East Hyde Park, Hyde Park, South Side"
7397003139,"345 N LA Salle Dr Apt 3403, Chicago, IL, 60654",60654,CONDOS,2.0,2.0,,1320.0,2001.0,489000.0,470000.0,41.888933,-87.631804,50.0,149.0,"River North, Downtown Chicago, Near North Side"
8370857355,"11427 S Stewart Ave, Chicago, IL, 60628",60628,SINGLE_FAMILY,5.0,2.0,,1800.0,,245000.0,244000.0,41.686198,-87.632174,2.0,48.0,"Far Southeast Side, Roseland"
7556200587,"2036 N Kilpatrick Ave, Chicago, IL, 60639",60639,SINGLE_FAMILY,3.0,3.0,,3358.0,1922.0,535000.0,525000.0,41.918083,-87.744068,2.0,48.0,"Belmont Cragin, Northwest Side"
8885366516,"716 W Schubert Ave, Chicago, IL, 60614",60614,SINGLE_FAMILY,10.0,7.0,4.0,10940.0,2011.0,4695000.0,4425000.0,41.931876,-87.647276,,84.0,"Park West, North Side, Lincoln Park"
8908672251,"12044 S Perry Ave, Chicago, IL, 60628",60628,SINGLE_FAMILY,4.0,2.0,,1517.0,1938.0,103320.0,92000.0,41.674882,-87.625318,2.0,405.0,"West Pullman, Far Southeast Side"
8664576324,"7320 N Oriole Ave, Chicago, IL, 60631",60631,SINGLE_FAMILY,3.0,1.0,,1107.0,1952.0,375000.0,375000.0,42.013932,-87.816715,1.0,42.0,"Edison Park, Far North Side"
8343631848,"2052 W Chicago Ave Apt 2, Chicago, IL, 60622",60622,CONDOS,2.0,2.0,,1450.0,2002.0,465000.0,488500.0,41.896044,-87.67847,3.0,48.0,"West Side, Ukrainian Village, West Town"
8491634957,"3125 W Fullerton Ave Apt 214, Chicago, IL, 60647",60647,CONDOS,2.0,2.0,,1116.0,2006.0,435000.0,436000.0,41.924415,-87.705633,1.0,47.0,"Logan Square, Palmer Square, North Side"
9401181948,"615 E 42nd St, Chicago, IL, 60653",60653,SINGLE_FAMILY,3.0,3.0,,2900.0,1873.0,549000.0,535000.0,41.818304,-87.610974,2.0,102.0,"Grand Boulevard, South Side"
8973464793,"5716 S May St, Chicago, IL, 60621",60621,MULTI_FAMILY,6.0,2.0,,2652.0,1904.0,139900.0,139900.0,41.789998,-87.653905,,110.0,"Englewood, Southwest Side"
7307843899,"3014 S Kolin Ave, Chicago, IL, 60623",60623,SINGLE_FAMILY,2.0,2.0,,910.0,1908.0,124999.0,110000.0,41.838089,-87.733239,2.0,50.0,"South Lawndale, West Side"
8785002086,"161 E Chicago Ave Unit 49B, Chicago, IL, 60611",60611,CONDOS,2.0,2.0,1.0,1850.0,1985.0,850000.0,840000.0,41.896127,-87.623395,64.0,47.0,"Downtown Chicago, Streeterville, Near North Side"
8690851931,"5048 S Blackstone Ave Apt 2, Chicago, IL, 60615",60615,CONDOS,2.0,1.0,,1000.0,1905.0,240000.0,230000.0,41.802765,-87.590772,3.0,124.0,"Kenwood, South Side, Hyde Park Kenwood Historic District"
7445929226,"7414 S Aberdeen St, Chicago, IL, 60621",60621,SINGLE_FAMILY,4.0,3.0,,3100.0,1893.0,329900.0,340000.0,41.759092,-87.651886,2.0,14.0,"Englewood, Southwest Side"
8989524825,"820 W Lill Ave, Chicago, IL, 60614",60614,SINGLE_FAMILY,3.0,3.0,1.0,3186.0,1890.0,1400000.0,1450000.0,41.928428,-87.649766,3.0,62.0,"North Side, Lincoln Park, Wrightwood"
7794251056,"5331 W Schubert Ave, Chicago, IL, 60639",60639,SINGLE_FAMILY,4.0,2.0,,2461.0,1927.0,399000.0,420000.0,41.929279,-87.760084,2.0,41.0,"Cragin, Belmont Cragin, Northwest Side"
7697201095,"5705 N Oketo Ave, Chicago, IL, 60631",60631,SINGLE_FAMILY,3.0,1.0,1.0,1104.0,1961.0,399000.0,390000.0,41.983766,-87.811532,1.0,41.0,"Norwood Park, Far North Side, Norwood Park West"
9605536348,"3644 N Pine Grove Ave Apt 3, Chicago, IL, 60613",60613,CONDOS,1.0,1.0,,950.0,,275000.0,275000.0,41.949013,-87.646629,1.0,39.0,"Lake View East, Lake View, North Side"
8450647924,"2138 W Haddon Ave, Chicago, IL, 60622",60622,SINGLE_FAMILY,2.0,2.0,1.0,3100.0,1890.0,1100000.0,1100000.0,41.902442,-87.681258,3.0,,"West Side, West Town, Ukrainian Village"
8921835537,"10742 S Morgan St, Chicago, IL, 60643",60643,SINGLE_FAMILY,3.0,2.0,,1321.0,,274999.0,287000.0,41.698284,-87.64778,1.0,70.0,"Far Southwest Side, Morgan Park"
8916110918,"2650 N Lakeview Ave Apt 1603, Chicago, IL, 60614",60614,CONDOS,0.0,1.0,,585.0,1973.0,189000.0,189000.0,41.93081,-87.640054,44.0,36.0,"Park West, North Side, Lincoln Park"
8632888900,"3324 N Ottawa Ave, Chicago, IL, 60634",60634,SINGLE_FAMILY,3.0,3.0,,1781.0,1946.0,405000.0,400000.0,41.94033,-87.81818,2.0,39.0,"Dunning, Belmont Heights, Northwest Side"
8787499027,"345 N LA Salle Dr Apt 1205, Chicago, IL, 60654",60654,CONDOS,1.0,1.0,,800.0,2001.0,299995.0,294000.0,41.888933,-87.631804,48.0,89.0,"Downtown Chicago, River North, Near North Side"
8819721289,"1120 W Adams St Unit 5W, Chicago, IL, 60607",60607,CONDOS,3.0,3.0,,2143.0,2015.0,1149000.0,1130000.0,41.879255,-87.65493,6.0,70.0,"West Side, Near West Side, West Loop"
7579217212,"225 N Columbus Dr Unit 7408, Chicago, IL, 60601",60601,CONDOS,2.0,2.0,1.0,1547.0,2009.0,850000.0,849000.0,41.886566,-87.620464,81.0,0.0,"Downtown Chicago, The Loop, Near East Side"
7335290006,"2838 N Burling St Apt 2, Chicago, IL, 60657",60657,CONDOS,3.0,2.0,,1800.0,1996.0,774900.0,770000.0,41.933915,-87.648087,4.0,75.0,"Lake View East, North Side, Lake View"
